split,cell_emb,drug_emb,model,variant,inert_embedding,grouping,metric,value,se,n_seeds_or_folds,n_units,run_dir
loclo_loo,gene_jepa,biomed,lightgbm,full,none,within_drug,MCC,-0.03415870840822193,0.0043130378353945795,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__lightgbm
loclo_loo,gene_jepa,biomed,lightgbm,full,none,within_drug,AUROC,0.4885376040726041,0.003701367075609851,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__lightgbm
loclo_loo,gene_jepa,biomed,lightgbm,full,none,within_cell_line,MCC,0.04757029449200941,0.007582894150700975,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__lightgbm
loclo_loo,gene_jepa,biomed,lightgbm,full,none,within_cell_line,AUROC,0.5373058425383984,0.0013618157666645434,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__lightgbm
loclo_loo,gene_jepa,biomed,lightgbm,full,none,overall,MCC,0.0475702944920094,0.0245079251078889,12,,results/zenodo/grid/loclo_loo__gene_jepa__biomed__lightgbm
loclo_loo,gene_jepa,biomed,lightgbm,full,none,overall,AUROC,0.5373058425383984,0.0267450247041957,12,,results/zenodo/grid/loclo_loo__gene_jepa__biomed__lightgbm
loclo_loo,gene_jepa,biomed,mlp,full,none,within_drug,MCC,-0.03396815177866246,0.00692596002308884,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__mlp
loclo_loo,gene_jepa,biomed,mlp,full,none,within_drug,AUROC,0.4626734518507307,0.0012631602418259288,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__mlp
loclo_loo,gene_jepa,biomed,mlp,full,none,within_cell_line,MCC,0.0362532338147419,0.0005770778028582841,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__mlp
loclo_loo,gene_jepa,biomed,mlp,full,none,within_cell_line,AUROC,0.5153627976503669,0.002761985830975263,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__mlp
loclo_loo,gene_jepa,biomed,mlp,full,none,overall,MCC,0.0362532338147419,0.0192757926609403,12,,results/zenodo/grid/loclo_loo__gene_jepa__biomed__mlp
loclo_loo,gene_jepa,biomed,mlp,full,none,overall,AUROC,0.5153627976503669,0.0302591343767811,12,,results/zenodo/grid/loclo_loo__gene_jepa__biomed__mlp
loclo_loo,gene_jepa,biomed,xrfm,full,none,within_drug,MCC,-0.019145945668783523,0.011196358154515246,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__xrfm
loclo_loo,gene_jepa,biomed,xrfm,full,none,within_drug,AUROC,0.49856110577002094,0.008735716728485209,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__xrfm
loclo_loo,gene_jepa,biomed,xrfm,full,none,within_cell_line,MCC,0.07420139271428183,0.004840990715898724,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__xrfm
loclo_loo,gene_jepa,biomed,xrfm,full,none,within_cell_line,AUROC,0.5640797809920438,0.0009733644498305369,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__biomed__xrfm
loclo_loo,gene_jepa,biomed,xrfm,full,none,overall,MCC,0.0742013927142818,0.0296882392383286,12,,results/zenodo/grid/loclo_loo__gene_jepa__biomed__xrfm
loclo_loo,gene_jepa,biomed,xrfm,full,none,overall,AUROC,0.5640797809920438,0.032051565193035,12,,results/zenodo/grid/loclo_loo__gene_jepa__biomed__xrfm
loclo_loo,gene_jepa,chemberta,lightgbm,full,none,within_drug,MCC,-0.03168841951437452,0.0017544543960097228,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__lightgbm
loclo_loo,gene_jepa,chemberta,lightgbm,full,none,within_drug,AUROC,0.4784203922971481,0.002178301545439022,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__lightgbm
loclo_loo,gene_jepa,chemberta,lightgbm,full,none,within_cell_line,MCC,0.03731394010525347,0.002397618635375413,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__lightgbm
loclo_loo,gene_jepa,chemberta,lightgbm,full,none,within_cell_line,AUROC,0.5214956865547977,0.00041394417410901114,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__lightgbm
loclo_loo,gene_jepa,chemberta,lightgbm,full,none,overall,MCC,0.0373139401052534,0.029914509769058,12,,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__lightgbm
loclo_loo,gene_jepa,chemberta,lightgbm,full,none,overall,AUROC,0.5214956865547977,0.0282156463586199,12,,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__lightgbm
loclo_loo,gene_jepa,chemberta,mlp,full,none,within_drug,MCC,-0.037794569093382795,0.007903742854499393,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,mlp,full,none,within_drug,AUROC,0.47368655121711756,0.0009513389652389702,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,mlp,full,none,within_cell_line,MCC,0.022416058041975728,0.008312684913663005,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,mlp,full,none,within_cell_line,AUROC,0.5176205414139087,0.0014720185621683486,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,mlp,full,none,overall,MCC,0.0224160580419757,0.0164960952992079,12,,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,mlp,full,none,overall,AUROC,0.5176205414139087,0.0200368588581736,12,,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_drug,MCC,0.0036341634230886433,0.0033326282270871167,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_drug,AUROC,0.49789776523049123,0.0005301505847513175,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_cell_line,MCC,0.06434190664783565,0.0055233798547550984,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_cell_line,AUROC,0.5473428409884226,0.00503542524520818,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,overall,MCC,0.0643419066478356,0.0302698366769427,12,,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,overall,AUROC,0.5473428409884228,0.0318311866766857,12,,results/zenodo/grid/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_drug,MCC,-0.043506135207552345,0.0070517320573372155,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_drug,AUROC,0.4797195497775368,0.002043137762902378,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_cell_line,MCC,0.03996921296109985,0.004010749983380281,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_cell_line,AUROC,0.5195894645934279,0.002757079430435996,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,overall,MCC,0.0399692129610998,0.0266532565406726,12,,results/zenodo/grid/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,overall,AUROC,0.5195894645934279,0.0279431101189327,12,,results/zenodo/grid/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,mlp,full,none,within_drug,MCC,-0.05256224196435986,0.007178414171033878,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,within_drug,AUROC,0.48407896475486156,0.00569605236854972,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,within_cell_line,MCC,0.01905335978647909,0.01017583632073695,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,within_cell_line,AUROC,0.5219681172939229,0.0049102519377590016,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,overall,MCC,0.0190533597864791,0.0212701184395648,12,,results/zenodo/grid/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,overall,AUROC,0.5219681172939229,0.0205590518496471,12,,results/zenodo/grid/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,xrfm,full,none,within_drug,MCC,-0.022969536936396473,0.0018742794378185385,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__xrfm
loclo_loo,gene_jepa,maccs,xrfm,full,none,within_drug,AUROC,0.4746613950350738,0.0025077039717326926,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__xrfm
loclo_loo,gene_jepa,maccs,xrfm,full,none,within_cell_line,MCC,0.07393624974192196,0.006269544877059549,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__maccs__xrfm
